what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497074818707
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1497074844626
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1497074844688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497074866722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497074868861
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497074871509
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497074881381
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497074896276
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497074902596
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497074905806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497074908860
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497074909700
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497074913050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497074931549
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497074941116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497074948218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075023504
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075041998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075043681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075054982
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075056697
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075058507
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075059383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075065718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075069763
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497075071798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075112394
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075114764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075127134
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075129103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1497075130756
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075133382
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075135012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075152484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075210584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075212237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075216197
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075220366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075227322
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075237680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075396598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1497075454768
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497075460636
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497087364570
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497087558091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497089376349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497115376170
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497115386750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497118105329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497118115704
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497118141520
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497118152659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161098121
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1497161105661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161111326
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161118512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161128798
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161140975
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497161146670
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497161147379
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1497161147587
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1497161152089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1497161156577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161183592
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161183772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161199062
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161199206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161223014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161223153
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161227796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161227952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1497161254039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497161259566
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497161259872
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497161260275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497161260548
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497161260962
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497161261342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497161261694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497161261976
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497161262395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1497161262709
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161270087
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161278359
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1497161282032
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161283725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161296727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161303687
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161305753
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161308476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161312471
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161358480
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161406536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161431231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1497161431388
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161446722
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161448336
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161454226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161465205
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161470833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161484054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161490274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161523953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1497161601812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161630746
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161642597
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161656237
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161658898
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1497161668978
